health_statement,label,source_type
You do not need sleep if you meditate daily,false,blog
Fasting alone can cure chronic diseases,false,comment
Diabetes can be permanently cured by herbal tea,false,comment
Drinking bleach can kill viruses inside the body,false,forum
Homeopathy can replace all modern medicines,false,tweet
Antibiotics are effective against bacterial infections,true,blog
Drinking bleach can kill viruses inside the body,false,forum
Regular exercise helps reduce the risk of heart disease,true,tweet
Homeopathy can replace all modern medicines,false,news
Early cancer screening improves survival rates,true,blog
Wearing glasses permanently weakens eyesight,false,comment
Early cancer screening improves survival rates,true,tweet
Fasting alone can cure chronic diseases,false,tweet
High blood pressure increases the risk of stroke,true,news
Vaccines help the immune system recognize and fight infections,true,tweet
Cancer can be cured only through faith healing,false,blog
All cancers are caused by mobile phone radiation,false,forum
Smoking increases the risk of lung cancer,true,blog
Antibiotics can cure viral infections like flu,false,tweet
Antibiotics are effective against bacterial infections,true,tweet
High blood pressure increases the risk of stroke,true,blog
High blood pressure increases the risk of stroke,true,blog
Mental health therapy can reduce anxiety and depression,true,comment
Vaccines cause autism,false,blog
Detox drinks can remove all toxins instantly,false,forum
Garlic can completely cure COVID-19,false,news
Drinking enough water supports kidney function,true,blog
Cancer can be cured only through faith healing,false,tweet
Insulin regulates blood sugar levels,true,comment
A balanced diet improves overall immune health,true,tweet
Handwashing reduces the spread of infectious diseases,true,tweet
Antibiotics are effective against bacterial infections,true,comment
All cancers are caused by mobile phone radiation,false,tweet
Skipping meals is the healthiest way to lose weight,false,news
Physical activity helps control body weight,true,news
Mental illness is caused by evil spirits,false,comment
Garlic can completely cure COVID-19,false,comment
Vaccines help the immune system recognize and fight infections,true,tweet
High blood pressure increases the risk of stroke,true,blog
Fasting alone can cure chronic diseases,false,forum
Antibiotics can cure viral infections like flu,false,blog
Vaccines cause autism,false,blog
Mental illness is caused by evil spirits,false,tweet
Mental health therapy can reduce anxiety and depression,true,forum
A balanced diet improves overall immune health,true,tweet
A balanced diet improves overall immune health,true,news
Mental illness is caused by evil spirits,false,comment
Diabetes can be permanently cured by herbal tea,false,news
Skipping meals is the healthiest way to lose weight,false,tweet
Proper hydration helps maintain body temperature,true,tweet
Vaccines help the immune system recognize and fight infections,true,news
Vaccines cause autism,false,tweet
Homeopathy can replace all modern medicines,false,tweet
All cancers are caused by mobile phone radiation,false,tweet
Wearing glasses permanently weakens eyesight,false,blog
High blood pressure increases the risk of stroke,true,blog
Mental illness is caused by evil spirits,false,news
Garlic can completely cure COVID-19,false,comment
Skipping meals is the healthiest way to lose weight,false,blog
Early cancer screening improves survival rates,true,tweet
A balanced diet improves overall immune health,true,comment
High blood pressure increases the risk of stroke,true,blog
Proper hydration helps maintain body temperature,true,news
Garlic can completely cure COVID-19,false,comment
Vaccination reduces the spread of infectious diseases,true,comment
Detox drinks can remove all toxins instantly,false,blog
Antibiotics can cure viral infections like flu,false,comment
Garlic can completely cure COVID-19,false,forum
Drinking enough water supports kidney function,true,blog
Physical activity helps control body weight,true,forum
Proper hydration helps maintain body temperature,true,news
Antibiotics can cure viral infections like flu,false,news
Vaccines cause autism,false,tweet
Drinking enough water supports kidney function,true,tweet
Insulin regulates blood sugar levels,true,comment
Proper hydration helps maintain body temperature,true,blog
All cancers are caused by mobile phone radiation,false,news
Mental illness is caused by evil spirits,false,comment
Garlic can completely cure COVID-19,false,comment
Antibiotics can cure viral infections like flu,false,news
Garlic can completely cure COVID-19,false,blog
Antibiotics can cure viral infections like flu,false,tweet
Homeopathy can replace all modern medicines,false,forum
Diabetes can be permanently cured by herbal tea,false,forum
Vaccines help the immune system recognize and fight infections,true,blog
Wearing glasses permanently weakens eyesight,false,comment
Physical activity helps control body weight,true,forum
Vaccines cause autism,false,comment
Drinking enough water supports kidney function,true,tweet
Handwashing reduces the spread of infectious diseases,true,forum
Drinking enough water supports kidney function,true,blog
Drinking bleach can kill viruses inside the body,false,blog
Skipping meals is the healthiest way to lose weight,false,news
Mental illness is caused by evil spirits,false,forum
Homeopathy can replace all modern medicines,false,tweet
Drinking enough water supports kidney function,true,news
Proper hydration helps maintain body temperature,true,comment
Proper hydration helps maintain body temperature,true,blog
High blood pressure increases the risk of stroke,true,tweet
High blood pressure increases the risk of stroke,true,blog
Smoking increases the risk of lung cancer,true,comment
Detox drinks can remove all toxins instantly,false,tweet
Insulin regulates blood sugar levels,true,blog
Proper hydration helps maintain body temperature,true,tweet
Antibiotics can cure viral infections like flu,false,comment
Drinking alcohol improves immunity,false,tweet
Insulin regulates blood sugar levels,true,news
Cancer can be cured only through faith healing,false,forum
Skipping meals is the healthiest way to lose weight,false,news
Diabetes can be permanently cured by herbal tea,false,forum
Skipping meals is the healthiest way to lose weight,false,forum
Skipping meals is the healthiest way to lose weight,false,blog
Vaccines cause autism,false,forum
Cancer can be cured only through faith healing,false,news
Handwashing reduces the spread of infectious diseases,true,forum
Mental illness is caused by evil spirits,false,tweet
Garlic can completely cure COVID-19,false,blog
Antibiotics can cure viral infections like flu,false,comment
A balanced diet improves overall immune health,true,forum
Drinking alcohol improves immunity,false,tweet
Vaccines cause autism,false,blog
Garlic can completely cure COVID-19,false,forum
Mental illness is caused by evil spirits,false,tweet
Insulin regulates blood sugar levels,true,news
Drinking bleach can kill viruses inside the body,false,news
Smoking increases the risk of lung cancer,true,news
Diabetes can be permanently cured by herbal tea,false,forum
Mental illness is caused by evil spirits,false,tweet
Early cancer screening improves survival rates,true,comment
Adequate sleep improves mental and physical health,true,comment
Physical activity helps control body weight,true,comment
Regular exercise helps reduce the risk of heart disease,true,forum
Cancer can be cured only through faith healing,false,comment
Vaccination reduces the spread of infectious diseases,true,forum
Mental illness is caused by evil spirits,false,forum
Skipping meals is the healthiest way to lose weight,false,news
Wearing glasses permanently weakens eyesight,false,tweet
Vaccination reduces the spread of infectious diseases,true,blog
Drinking alcohol improves immunity,false,blog
Proper hydration helps maintain body temperature,true,forum
Mental health therapy can reduce anxiety and depression,true,news
Vaccines help the immune system recognize and fight infections,true,tweet
Homeopathy can replace all modern medicines,false,blog
Antibiotics can cure viral infections like flu,false,tweet
Vaccines cause autism,false,news
Diabetes can be permanently cured by herbal tea,false,comment
Insulin regulates blood sugar levels,true,blog
Antibiotics are effective against bacterial infections,true,tweet
A balanced diet improves overall immune health,true,comment
Fasting alone can cure chronic diseases,false,comment
High blood pressure increases the risk of stroke,true,blog
Physical activity helps control body weight,true,blog
Mental health therapy can reduce anxiety and depression,true,comment
Vaccination reduces the spread of infectious diseases,true,tweet
Diabetes can be permanently cured by herbal tea,false,tweet
Cancer can be cured only through faith healing,false,tweet
Handwashing reduces the spread of infectious diseases,true,comment
Homeopathy can replace all modern medicines,false,blog
You do not need sleep if you meditate daily,false,comment
Antibiotics can cure viral infections like flu,false,forum
Homeopathy can replace all modern medicines,false,news
Antibiotics are effective against bacterial infections,true,blog
Vaccines help the immune system recognize and fight infections,true,forum
Vaccines help the immune system recognize and fight infections,true,tweet
Early cancer screening improves survival rates,true,comment
Vaccination reduces the spread of infectious diseases,true,comment
Antibiotics are effective against bacterial infections,true,comment
Vaccines help the immune system recognize and fight infections,true,news
You do not need sleep if you meditate daily,false,news
Wearing glasses permanently weakens eyesight,false,blog
Vaccines help the immune system recognize and fight infections,true,blog
You do not need sleep if you meditate daily,false,comment
Early cancer screening improves survival rates,true,blog
Insulin regulates blood sugar levels,true,news
Handwashing reduces the spread of infectious diseases,true,news
Early cancer screening improves survival rates,true,news
Cancer can be cured only through faith healing,false,comment
Vaccines cause autism,false,blog
Regular exercise helps reduce the risk of heart disease,true,comment
Handwashing reduces the spread of infectious diseases,true,tweet
Garlic can completely cure COVID-19,false,blog
High blood pressure increases the risk of stroke,true,forum
Mental illness is caused by evil spirits,false,tweet
Diabetes can be permanently cured by herbal tea,false,forum
Regular exercise helps reduce the risk of heart disease,true,news
A balanced diet improves overall immune health,true,news
Proper hydration helps maintain body temperature,true,comment
You do not need sleep if you meditate daily,false,tweet
Smoking increases the risk of lung cancer,true,tweet
Handwashing reduces the spread of infectious diseases,true,blog
Antibiotics are effective against bacterial infections,true,tweet
Early cancer screening improves survival rates,true,news
Skipping meals is the healthiest way to lose weight,false,comment
All cancers are caused by mobile phone radiation,false,tweet
Cancer can be cured only through faith healing,false,news
Vaccination reduces the spread of infectious diseases,true,tweet
Vaccines cause autism,false,blog
All cancers are caused by mobile phone radiation,false,news
Handwashing reduces the spread of infectious diseases,true,tweet
A balanced diet improves overall immune health,true,comment
Detox drinks can remove all toxins instantly,false,forum
Garlic can completely cure COVID-19,false,blog
All cancers are caused by mobile phone radiation,false,news
Physical activity helps control body weight,true,comment
Vaccines cause autism,false,tweet
Early cancer screening improves survival rates,true,tweet
All cancers are caused by mobile phone radiation,false,blog
Drinking bleach can kill viruses inside the body,false,blog
Regular exercise helps reduce the risk of heart disease,true,tweet
Antibiotics are effective against bacterial infections,true,comment
Homeopathy can replace all modern medicines,false,comment
Regular exercise helps reduce the risk of heart disease,true,tweet
Mental illness is caused by evil spirits,false,news
Vaccines cause autism,false,blog
Antibiotics are effective against bacterial infections,true,tweet
Skipping meals is the healthiest way to lose weight,false,comment
Detox drinks can remove all toxins instantly,false,comment
Insulin regulates blood sugar levels,true,news
Vaccines cause autism,false,news
Antibiotics can cure viral infections like flu,false,tweet
Adequate sleep improves mental and physical health,true,tweet
Antibiotics can cure viral infections like flu,false,tweet
Drinking bleach can kill viruses inside the body,false,news
Drinking alcohol improves immunity,false,blog
Fasting alone can cure chronic diseases,false,forum
Mental illness is caused by evil spirits,false,tweet
Detox drinks can remove all toxins instantly,false,blog
Detox drinks can remove all toxins instantly,false,blog
Skipping meals is the healthiest way to lose weight,false,news
Mental health therapy can reduce anxiety and depression,true,comment
All cancers are caused by mobile phone radiation,false,tweet
Fasting alone can cure chronic diseases,false,news
Physical activity helps control body weight,true,tweet
Proper hydration helps maintain body temperature,true,tweet
Smoking increases the risk of lung cancer,true,comment
Detox drinks can remove all toxins instantly,false,comment
Diabetes can be permanently cured by herbal tea,false,news
Vaccines cause autism,false,comment
You do not need sleep if you meditate daily,false,comment
Fasting alone can cure chronic diseases,false,forum
Antibiotics are effective against bacterial infections,true,forum
Wearing glasses permanently weakens eyesight,false,news
Insulin regulates blood sugar levels,true,tweet
Drinking enough water supports kidney function,true,news
Fasting alone can cure chronic diseases,false,comment
Homeopathy can replace all modern medicines,false,forum
All cancers are caused by mobile phone radiation,false,forum
Insulin regulates blood sugar levels,true,blog
Physical activity helps control body weight,true,blog
Mental illness is caused by evil spirits,false,comment
Cancer can be cured only through faith healing,false,news
Drinking bleach can kill viruses inside the body,false,comment
Fasting alone can cure chronic diseases,false,comment
Drinking alcohol improves immunity,false,blog
Antibiotics are effective against bacterial infections,true,comment
Handwashing reduces the spread of infectious diseases,true,forum
Handwashing reduces the spread of infectious diseases,true,comment
Handwashing reduces the spread of infectious diseases,true,tweet
Early cancer screening improves survival rates,true,forum
Physical activity helps control body weight,true,tweet
High blood pressure increases the risk of stroke,true,tweet
A balanced diet improves overall immune health,true,tweet
Regular exercise helps reduce the risk of heart disease,true,comment
Proper hydration helps maintain body temperature,true,blog
Garlic can completely cure COVID-19,false,tweet
Smoking increases the risk of lung cancer,true,forum
All cancers are caused by mobile phone radiation,false,forum
Garlic can completely cure COVID-19,false,forum
Regular exercise helps reduce the risk of heart disease,true,comment
Early cancer screening improves survival rates,true,tweet
Homeopathy can replace all modern medicines,false,blog
Fasting alone can cure chronic diseases,false,news
You do not need sleep if you meditate daily,false,blog
Mental illness is caused by evil spirits,false,blog
Garlic can completely cure COVID-19,false,blog
Vaccines cause autism,false,tweet
Physical activity helps control body weight,true,forum
Drinking enough water supports kidney function,true,tweet
Drinking enough water supports kidney function,true,tweet
Mental health therapy can reduce anxiety and depression,true,forum
A balanced diet improves overall immune health,true,blog
Regular exercise helps reduce the risk of heart disease,true,tweet
A balanced diet improves overall immune health,true,blog
Wearing glasses permanently weakens eyesight,false,blog
Mental health therapy can reduce anxiety and depression,true,blog
You do not need sleep if you meditate daily,false,comment
A balanced diet improves overall immune health,true,comment
High blood pressure increases the risk of stroke,true,blog
Wearing glasses permanently weakens eyesight,false,news
Cancer can be cured only through faith healing,false,tweet
All cancers are caused by mobile phone radiation,false,news
A balanced diet improves overall immune health,true,tweet
Wearing glasses permanently weakens eyesight,false,tweet
Physical activity helps control body weight,true,blog
Physical activity helps control body weight,true,blog
Physical activity helps control body weight,true,news
Antibiotics can cure viral infections like flu,false,tweet
Smoking increases the risk of lung cancer,true,forum
Handwashing reduces the spread of infectious diseases,true,news
Drinking bleach can kill viruses inside the body,false,news
Physical activity helps control body weight,true,forum
Drinking enough water supports kidney function,true,forum
Homeopathy can replace all modern medicines,false,news
You do not need sleep if you meditate daily,false,forum
Insulin regulates blood sugar levels,true,tweet
Smoking increases the risk of lung cancer,true,tweet
You do not need sleep if you meditate daily,false,news
Antibiotics are effective against bacterial infections,true,comment
Physical activity helps control body weight,true,forum
You do not need sleep if you meditate daily,false,forum
High blood pressure increases the risk of stroke,true,blog
Fasting alone can cure chronic diseases,false,blog
Homeopathy can replace all modern medicines,false,tweet
Regular exercise helps reduce the risk of heart disease,true,forum
Antibiotics are effective against bacterial infections,true,tweet
Adequate sleep improves mental and physical health,true,forum
Drinking enough water supports kidney function,true,forum
Cancer can be cured only through faith healing,false,blog
A balanced diet improves overall immune health,true,tweet
Insulin regulates blood sugar levels,true,blog
Drinking bleach can kill viruses inside the body,false,comment
Regular exercise helps reduce the risk of heart disease,true,blog
Vaccination reduces the spread of infectious diseases,true,forum
Vaccination reduces the spread of infectious diseases,true,comment
All cancers are caused by mobile phone radiation,false,news
Physical activity helps control body weight,true,blog
Vaccines cause autism,false,comment
High blood pressure increases the risk of stroke,true,comment
Adequate sleep improves mental and physical health,true,news
Early cancer screening improves survival rates,true,news
Vaccines help the immune system recognize and fight infections,true,tweet
High blood pressure increases the risk of stroke,true,news
You do not need sleep if you meditate daily,false,forum
A balanced diet improves overall immune health,true,news
Proper hydration helps maintain body temperature,true,tweet
Detox drinks can remove all toxins instantly,false,forum
Physical activity helps control body weight,true,comment
Skipping meals is the healthiest way to lose weight,false,comment
Mental health therapy can reduce anxiety and depression,true,forum
Drinking bleach can kill viruses inside the body,false,comment
Regular exercise helps reduce the risk of heart disease,true,tweet
Adequate sleep improves mental and physical health,true,blog
Mental illness is caused by evil spirits,false,tweet
Vaccines help the immune system recognize and fight infections,true,news
Diabetes can be permanently cured by herbal tea,false,tweet
Homeopathy can replace all modern medicines,false,comment
Detox drinks can remove all toxins instantly,false,news
Drinking enough water supports kidney function,true,forum
Skipping meals is the healthiest way to lose weight,false,comment
Garlic can completely cure COVID-19,false,forum
Drinking enough water supports kidney function,true,news
Physical activity helps control body weight,true,news
A balanced diet improves overall immune health,true,forum
Vaccines cause autism,false,news
Fasting alone can cure chronic diseases,false,news
Mental health therapy can reduce anxiety and depression,true,comment
Physical activity helps control body weight,true,forum
Insulin regulates blood sugar levels,true,comment
Homeopathy can replace all modern medicines,false,tweet
Wearing glasses permanently weakens eyesight,false,comment
Proper hydration helps maintain body temperature,true,forum
Antibiotics are effective against bacterial infections,true,comment
Wearing glasses permanently weakens eyesight,false,news
Fasting alone can cure chronic diseases,false,forum
Insulin regulates blood sugar levels,true,news
Mental illness is caused by evil spirits,false,blog
Diabetes can be permanently cured by herbal tea,false,blog
Smoking increases the risk of lung cancer,true,comment
You do not need sleep if you meditate daily,false,blog
All cancers are caused by mobile phone radiation,false,comment
Wearing glasses permanently weakens eyesight,false,forum
Drinking alcohol improves immunity,false,forum
High blood pressure increases the risk of stroke,true,tweet
Handwashing reduces the spread of infectious diseases,true,news
Proper hydration helps maintain body temperature,true,forum
Fasting alone can cure chronic diseases,false,tweet
Mental illness is caused by evil spirits,false,tweet
Detox drinks can remove all toxins instantly,false,tweet
Homeopathy can replace all modern medicines,false,comment
Vaccines cause autism,false,tweet
Insulin regulates blood sugar levels,true,comment
Handwashing reduces the spread of infectious diseases,true,comment
Garlic can completely cure COVID-19,false,comment
Drinking alcohol improves immunity,false,forum
Regular exercise helps reduce the risk of heart disease,true,news
Physical activity helps control body weight,true,comment
Proper hydration helps maintain body temperature,true,tweet
Wearing glasses permanently weakens eyesight,false,forum
Antibiotics are effective against bacterial infections,true,forum
Antibiotics can cure viral infections like flu,false,comment
Adequate sleep improves mental and physical health,true,forum
Drinking alcohol improves immunity,false,news
Drinking alcohol improves immunity,false,news
Adequate sleep improves mental and physical health,true,news
Insulin regulates blood sugar levels,true,comment
Antibiotics are effective against bacterial infections,true,blog
Fasting alone can cure chronic diseases,false,comment
Garlic can completely cure COVID-19,false,news
Garlic can completely cure COVID-19,false,tweet
Fasting alone can cure chronic diseases,false,comment
Mental illness is caused by evil spirits,false,blog
Vaccination reduces the spread of infectious diseases,true,tweet
Mental illness is caused by evil spirits,false,forum
Vaccines help the immune system recognize and fight infections,true,blog
Regular exercise helps reduce the risk of heart disease,true,forum
Skipping meals is the healthiest way to lose weight,false,forum
Antibiotics can cure viral infections like flu,false,forum
Drinking alcohol improves immunity,false,comment
Antibiotics are effective against bacterial infections,true,news
All cancers are caused by mobile phone radiation,false,blog
Early cancer screening improves survival rates,true,blog
You do not need sleep if you meditate daily,false,news
Regular exercise helps reduce the risk of heart disease,true,tweet
Antibiotics can cure viral infections like flu,false,news
Mental health therapy can reduce anxiety and depression,true,news
Insulin regulates blood sugar levels,true,comment
Mental illness is caused by evil spirits,false,comment
Regular exercise helps reduce the risk of heart disease,true,tweet
Vaccines help the immune system recognize and fight infections,true,comment
Drinking enough water supports kidney function,true,news
Antibiotics can cure viral infections like flu,false,forum
Mental health therapy can reduce anxiety and depression,true,tweet
Fasting alone can cure chronic diseases,false,blog
A balanced diet improves overall immune health,true,tweet
Smoking increases the risk of lung cancer,true,news
Smoking increases the risk of lung cancer,true,tweet
Proper hydration helps maintain body temperature,true,blog
Skipping meals is the healthiest way to lose weight,false,news
Cancer can be cured only through faith healing,false,blog
Early cancer screening improves survival rates,true,tweet
Mental illness is caused by evil spirits,false,tweet
Homeopathy can replace all modern medicines,false,forum
Skipping meals is the healthiest way to lose weight,false,blog
Vaccines cause autism,false,comment
Adequate sleep improves mental and physical health,true,blog
Wearing glasses permanently weakens eyesight,false,blog
Mental health therapy can reduce anxiety and depression,true,forum
All cancers are caused by mobile phone radiation,false,tweet
Detox drinks can remove all toxins instantly,false,forum
Drinking bleach can kill viruses inside the body,false,blog
Mental illness is caused by evil spirits,false,comment
Insulin regulates blood sugar levels,true,tweet
Vaccines help the immune system recognize and fight infections,true,blog
Adequate sleep improves mental and physical health,true,blog
Garlic can completely cure COVID-19,false,forum
Vaccines cause autism,false,forum
Homeopathy can replace all modern medicines,false,comment
Regular exercise helps reduce the risk of heart disease,true,blog
Insulin regulates blood sugar levels,true,blog
High blood pressure increases the risk of stroke,true,forum
Early cancer screening improves survival rates,true,comment
Drinking enough water supports kidney function,true,tweet
Antibiotics can cure viral infections like flu,false,forum
You do not need sleep if you meditate daily,false,tweet
Insulin regulates blood sugar levels,true,comment
You do not need sleep if you meditate daily,false,news
Adequate sleep improves mental and physical health,true,forum
Early cancer screening improves survival rates,true,forum
Wearing glasses permanently weakens eyesight,false,news
Adequate sleep improves mental and physical health,true,tweet
All cancers are caused by mobile phone radiation,false,news
Physical activity helps control body weight,true,tweet
A balanced diet improves overall immune health,true,forum
Drinking bleach can kill viruses inside the body,false,forum
Wearing glasses permanently weakens eyesight,false,tweet
A balanced diet improves overall immune health,true,news
Diabetes can be permanently cured by herbal tea,false,news
Detox drinks can remove all toxins instantly,false,tweet
All cancers are caused by mobile phone radiation,false,news
All cancers are caused by mobile phone radiation,false,comment
Handwashing reduces the spread of infectious diseases,true,blog
Antibiotics are effective against bacterial infections,true,blog
Antibiotics are effective against bacterial infections,true,comment
Drinking alcohol improves immunity,false,comment
Garlic can completely cure COVID-19,false,comment
Handwashing reduces the spread of infectious diseases,true,news
Cancer can be cured only through faith healing,false,tweet
Antibiotics are effective against bacterial infections,true,tweet
Cancer can be cured only through faith healing,false,blog
Drinking bleach can kill viruses inside the body,false,comment
Vaccines help the immune system recognize and fight infections,true,forum
Adequate sleep improves mental and physical health,true,tweet
Vaccines help the immune system recognize and fight infections,true,forum
Regular exercise helps reduce the risk of heart disease,true,forum
Vaccines cause autism,false,tweet
Handwashing reduces the spread of infectious diseases,true,tweet
Fasting alone can cure chronic diseases,false,news
Handwashing reduces the spread of infectious diseases,true,forum
Mental health therapy can reduce anxiety and depression,true,comment
Skipping meals is the healthiest way to lose weight,false,comment
Antibiotics can cure viral infections like flu,false,forum
Mental health therapy can reduce anxiety and depression,true,tweet
Cancer can be cured only through faith healing,false,tweet
Wearing glasses permanently weakens eyesight,false,comment
Homeopathy can replace all modern medicines,false,news
Vaccines cause autism,false,news
Mental illness is caused by evil spirits,false,blog
Drinking enough water supports kidney function,true,tweet
Drinking enough water supports kidney function,true,comment
Smoking increases the risk of lung cancer,true,tweet
Vaccines cause autism,false,news
Drinking bleach can kill viruses inside the body,false,blog
Proper hydration helps maintain body temperature,true,blog
Wearing glasses permanently weakens eyesight,false,news
Vaccines help the immune system recognize and fight infections,true,comment
Vaccination reduces the spread of infectious diseases,true,news
Antibiotics are effective against bacterial infections,true,comment
Handwashing reduces the spread of infectious diseases,true,comment
Garlic can completely cure COVID-19,false,blog
Early cancer screening improves survival rates,true,tweet
Fasting alone can cure chronic diseases,false,tweet
Cancer can be cured only through faith healing,false,forum
Garlic can completely cure COVID-19,false,tweet
Skipping meals is the healthiest way to lose weight,false,forum
Proper hydration helps maintain body temperature,true,forum
Mental health therapy can reduce anxiety and depression,true,news
Fasting alone can cure chronic diseases,false,blog
Drinking enough water supports kidney function,true,blog
Physical activity helps control body weight,true,news
Drinking enough water supports kidney function,true,forum
Antibiotics can cure viral infections like flu,false,forum
Garlic can completely cure COVID-19,false,tweet
Diabetes can be permanently cured by herbal tea,false,tweet
Vaccines help the immune system recognize and fight infections,true,tweet
Drinking bleach can kill viruses inside the body,false,comment
Cancer can be cured only through faith healing,false,blog
Vaccines help the immune system recognize and fight infections,true,news
Insulin regulates blood sugar levels,true,tweet
Mental illness is caused by evil spirits,false,tweet
Early cancer screening improves survival rates,true,blog
Antibiotics can cure viral infections like flu,false,comment
Early cancer screening improves survival rates,true,comment
Early cancer screening improves survival rates,true,blog
Handwashing reduces the spread of infectious diseases,true,comment
Garlic can completely cure COVID-19,false,news
You do not need sleep if you meditate daily,false,comment
Diabetes can be permanently cured by herbal tea,false,blog
Proper hydration helps maintain body temperature,true,news
Garlic can completely cure COVID-19,false,blog
Garlic can completely cure COVID-19,false,tweet
Regular exercise helps reduce the risk of heart disease,true,news
Adequate sleep improves mental and physical health,true,blog
High blood pressure increases the risk of stroke,true,blog
Antibiotics can cure viral infections like flu,false,comment
Physical activity helps control body weight,true,tweet
Insulin regulates blood sugar levels,true,tweet
Regular exercise helps reduce the risk of heart disease,true,news
Physical activity helps control body weight,true,news
Handwashing reduces the spread of infectious diseases,true,comment
Cancer can be cured only through faith healing,false,news
Handwashing reduces the spread of infectious diseases,true,tweet
Adequate sleep improves mental and physical health,true,tweet
Regular exercise helps reduce the risk of heart disease,true,comment
Diabetes can be permanently cured by herbal tea,false,tweet
A balanced diet improves overall immune health,true,tweet
Fasting alone can cure chronic diseases,false,comment
Antibiotics can cure viral infections like flu,false,news
Skipping meals is the healthiest way to lose weight,false,forum
Vaccination reduces the spread of infectious diseases,true,comment
Physical activity helps control body weight,true,forum
All cancers are caused by mobile phone radiation,false,blog
A balanced diet improves overall immune health,true,news
Vaccines cause autism,false,comment
Drinking bleach can kill viruses inside the body,false,forum
Mental health therapy can reduce anxiety and depression,true,news
Smoking increases the risk of lung cancer,true,forum
All cancers are caused by mobile phone radiation,false,comment
High blood pressure increases the risk of stroke,true,comment
Vaccines cause autism,false,blog
Fasting alone can cure chronic diseases,false,blog
Early cancer screening improves survival rates,true,forum
Cancer can be cured only through faith healing,false,blog
Physical activity helps control body weight,true,blog
Cancer can be cured only through faith healing,false,forum
A balanced diet improves overall immune health,true,news
Drinking enough water supports kidney function,true,tweet
A balanced diet improves overall immune health,true,blog
Adequate sleep improves mental and physical health,true,news
Drinking bleach can kill viruses inside the body,false,news
Antibiotics can cure viral infections like flu,false,comment
Skipping meals is the healthiest way to lose weight,false,comment
Skipping meals is the healthiest way to lose weight,false,news
Physical activity helps control body weight,true,comment
Physical activity helps control body weight,true,blog
Early cancer screening improves survival rates,true,blog
Mental health therapy can reduce anxiety and depression,true,blog
Mental illness is caused by evil spirits,false,news
Early cancer screening improves survival rates,true,comment
High blood pressure increases the risk of stroke,true,comment
Regular exercise helps reduce the risk of heart disease,true,news
Antibiotics are effective against bacterial infections,true,blog
Antibiotics can cure viral infections like flu,false,blog
Mental health therapy can reduce anxiety and depression,true,tweet
Physical activity helps control body weight,true,comment
Vaccines cause autism,false,forum
Mental illness is caused by evil spirits,false,comment
Vaccines cause autism,false,comment
Cancer can be cured only through faith healing,false,comment
Handwashing reduces the spread of infectious diseases,true,blog
Vaccines cause autism,false,forum
Antibiotics can cure viral infections like flu,false,tweet
Adequate sleep improves mental and physical health,true,tweet
Fasting alone can cure chronic diseases,false,tweet
Vaccination reduces the spread of infectious diseases,true,comment
Antibiotics are effective against bacterial infections,true,forum
Garlic can completely cure COVID-19,false,blog
Drinking enough water supports kidney function,true,comment
Mental health therapy can reduce anxiety and depression,true,tweet
Early cancer screening improves survival rates,true,news
Regular exercise helps reduce the risk of heart disease,true,tweet
Garlic can completely cure COVID-19,false,blog
Mental health therapy can reduce anxiety and depression,true,blog
Skipping meals is the healthiest way to lose weight,false,forum
Diabetes can be permanently cured by herbal tea,false,tweet
Adequate sleep improves mental and physical health,true,forum
Detox drinks can remove all toxins instantly,false,news
Early cancer screening improves survival rates,true,forum
Adequate sleep improves mental and physical health,true,tweet
Proper hydration helps maintain body temperature,true,blog
Garlic can completely cure COVID-19,false,blog
Proper hydration helps maintain body temperature,true,tweet
High blood pressure increases the risk of stroke,true,tweet
Handwashing reduces the spread of infectious diseases,true,forum
Detox drinks can remove all toxins instantly,false,comment
Drinking enough water supports kidney function,true,news
Vaccines cause autism,false,comment
Vaccines help the immune system recognize and fight infections,true,news
Skipping meals is the healthiest way to lose weight,false,forum
Drinking alcohol improves immunity,false,forum
A balanced diet improves overall immune health,true,blog
Mental illness is caused by evil spirits,false,forum
Insulin regulates blood sugar levels,true,comment
Mental health therapy can reduce anxiety and depression,true,news
Vaccination reduces the spread of infectious diseases,true,tweet
Vaccination reduces the spread of infectious diseases,true,forum
You do not need sleep if you meditate daily,false,forum
Drinking enough water supports kidney function,true,blog
Vaccines help the immune system recognize and fight infections,true,comment
Skipping meals is the healthiest way to lose weight,false,news
Homeopathy can replace all modern medicines,false,news
High blood pressure increases the risk of stroke,true,tweet
Vaccination reduces the spread of infectious diseases,true,blog
Diabetes can be permanently cured by herbal tea,false,tweet
Handwashing reduces the spread of infectious diseases,true,news
Handwashing reduces the spread of infectious diseases,true,comment
Antibiotics can cure viral infections like flu,false,forum
High blood pressure increases the risk of stroke,true,comment
Cancer can be cured only through faith healing,false,comment
Adequate sleep improves mental and physical health,true,tweet
All cancers are caused by mobile phone radiation,false,comment
Mental health therapy can reduce anxiety and depression,true,news
Drinking enough water supports kidney function,true,comment
Vaccination reduces the spread of infectious diseases,true,news
Drinking enough water supports kidney function,true,news
Mental health therapy can reduce anxiety and depression,true,comment
Vaccines help the immune system recognize and fight infections,true,comment
Antibiotics are effective against bacterial infections,true,comment
Early cancer screening improves survival rates,true,tweet
Diabetes can be permanently cured by herbal tea,false,tweet
Mental health therapy can reduce anxiety and depression,true,news
Regular exercise helps reduce the risk of heart disease,true,tweet
